X,Y,FID,OID_,TIPOCEN2,TIPOVIAL,NOMVIA,NUMERO,MUNICIPIO,CODMUN,UTM_X,UTM_Y
-3.86499153163568,40.4489910649407,210,209,Centro de Salud Valle de la Oliva,Calle,Enrique Granados,      2,Majadahonda,080,426650,4477952
-3.86198625057089,40.7298154306029,211,210,Centro de Salud Manzanares el Real,Calle,Calada de los Toros,      8,Manzanares El Real,082,427210,4509122
-3.32971496538302,40.5507029717849,212,211,Centro de Salud Meco,Camino,Virgen de la Cabeza,      6,Meco,083,472083,4488935
-3.48248169784769,40.3971209101058,213,212,Centro de Salud Mejorada del Campo,Calle,Ciudad de Paris,     22,Mejorada del Campo,084,459055,4471947
-3.86227526540938,40.3230380306786,214,218,Centro de Salud Alcalde Bartolomp Gonzalez,Calle,de la Independencia,      8,M stoles,092,426744,4463969
-3.85445808604022,40.3257176959301,215,214,Centro de Salud Barcelona,Calle,Barcelona,     31,M stoles,092,427411,4464260
-3.85704884725006,40.3165002017712,216,216,Centro de Salud Dr. Luengo Rodrmguez,Calle,Nueva York,     16,M stoles,092,427181,4463239
-3.87177850275629,40.3188045814807,217,217,Centro de Salud Dos de Mayo,Calle,Coronel de Palma,      1,M stoles,092,425932,4463507
-3.8825135705323,40.3288224052388,218,221,Centro de Salud El Soto,Avenida,Olempica,     38,M stoles,092,425031,4464628
-3.85368583935599,40.3204800819424,219,215,Centro de Salud Felipe II,Avenida,Felipe II,     10,M stoles,092,427471,4463678
-3.85884160233855,40.3298024023338,220,220,Centro de Salud La Princesa,Calle,Severo Ochoa,      4,M stoles,092,427043,4464717
-3.93197551165773,40.308983787298,221,219,Centro de Salud Parque Coimbra,Avenida,de los Sauces,     57,M stoles,092,420806,4462469
-3.86984861963913,40.3335039799963,222,213,Centro de Salud Presentacimn Sabio,Calle,Alonso Cano,      8,M stoles,092,426112,4465137
-4.01456394615939,40.2901175781268,223,222,Centro de Salud Navalcarnero,Calle,de la Doctora,     10,Navalcarnero,096,413764,4460452
-4.25269299822624,40.3830445590887,224,223,Centro de Salud Navas del Rey,Avenida,de Madrid,     62,Navas del Rey,099,393669,4471026
-3.53239955496488,40.5065237906039,225,224,Centro de Salud Paracuellos del Jarama,Calle,Chorrillo Alta,     26,Paracuellos del Jarama,104,454892,4484115
-3.76484163582547,40.2346039571867,226,226,Centro de Salud Isabel II,Calle,Isabel II,     15,Parla,106,434937,4454077
-3.7626492061277,40.228834450054,227,228,Centro de Salud Las Am ricas,Avenida,America,      6,Parla,106,435118,4453435
-3.76405422114085,40.2440328809935,228,225,Centro de Salud Pintores,Calle,Cuenca,      0,Parla,106,435013,4455123
-3.7742147746852,40.2411634650368,229,227,Centro de Salud San Blas,Calle,San Blas,     24,Parla,106,434146,4454812
-3.35169612451617,40.2316866950564,230,229,Centro de Salud Perales de Taju a,Avenida,Paz,      5,Perales de Taju a,110,470081,4453532
-3.69492906686799,40.2514778504169,231,231,Centro de Salud Parque Europa,Plaza,David MartSn,      0,Pinto,113,440899,4455901
-3.69759551918247,40.2420560919396,232,230,Centro de Salud Pinto,Calle,del Marqu s,      0,Pinto,113,440664,4454857
-3.81459209450346,40.4305825271368,233,232,Centro de Salud Pozuelo-Centro/S. Juan de la Cruz,Avenida,San Juan de la Cruz,      4,Pozuelo de Alarcrn,115,430905,4475868
-3.80234766969566,40.4389113750933,234,233,Centro de Salud Pozuelo-Estaci/n,Calle,de la Emisora,      5,Pozuelo de AlarcPn,115,431952,4476783
-3.78175637738123,40.4110254471057,235,234,Centro de Salud Somosaguas,Calle,Plasencia,      0,Pozuelo de AlarcSn,115,433671,4473672
-3.8780037139249,40.9021239350222,236,235,Centro de Salud Rascafrua,Avenida,Ribera de Artiduelo,      2,Rascafr,120,426049,4528263
-3.54921685882109,40.364327221928,237,236,Centro de Salud La Paz-Rivas,Calle,Parque de Asturias,      0,Rivas Vaciamadrid,123,453369,4468340
-3.53393301336598,40.3603356556991,238,237,Centro de Salud Santa Monica,Calle,Acacias,    120,Rivas Vaciamadrid,123,454664,4467889
-3.52144048567345,40.3393291544727,239,238,Centro de Salud Primero de mayo,Avda.,1 de mayo c/v Avda. Vel zquez,      0,Rivas-Vaciamadrid,123,455711,4465551
-4.23978813512037,40.498288781858,240,239,Centro de Salud Robledo de Chavela,Carretera,Navas del Rey,      4,Robledo de Chavela,125,394944,4483803
-3.53398872483275,40.4270569766973,241,241,Centro de Salud Los Alperchines,Calle,Cardoba,      4,San Fernando de Henares,130,454704,4475295
-3.52994150151339,40.4220845699781,242,240,Centro de Salud San Fernando,Plaza,Ondarreta,      1,San Fernando de Henares,130,455044,4474741
-4.1497066264182,40.5919193393215,243,242,Centro de Salud San Carlos,Calle,Xavier Cabello Lapiedra,      1,San Lorenzo de El Escorial,131,402713,4494093
-3.5784877011646,40.2101078326328,244,243,Centro de Salud San Martan de la Vega,Avenida,Doce de Octubre,      6,San MartOn de la Vega,132,450772,4451238
-4.40096988423598,40.3645146098959,245,244,Centro de Salud San Martan de Valdeiglesias,Calle,de la Bola,      1,San Martln de Valdeiglesias,133,381050,4469158
-3.63040140181068,40.5447509715675,246,246,Centro de Salud Reyes Catalicos,Avenida,de Espa,     20,San Sebastian de los Reyes,134,446619,4488413
-3.63229613700761,40.5591187501698,247,247,Centro de Salud Rosa Luxemburgo,Avenida,Aragin,      6,San Sebastian de los Reyes,134,446470,4490009
-3.62269274321114,40.5501620580486,248,245,Centro de Salud V Centenario,Calle,Real,     91,San Sebastian de los Reyes,134,447276,4489009
-3.78775139760999,40.7511105883664,249,248,Centro de Salud Soto del Real,Calle,Cristal,      2,Soto del Real,144,433500,4511427
-3.461246347215,40.4504332941306,250,252,Centro de Salud Brtjula,Calle,Brljula,      0,Torrej0n de Ardoz,148,460888,4477855
-3.48375948871359,40.4587196813994,251,251,Centro de Salud Fronteras,Calle,Puerto de Navacerrada,      4,Torrej4n de Ardoz,148,458984,4478785
-3.45929891449588,40.4640537115225,252,253,Centro de Salud Juncal,Avenida,Madrid c/v Brasil,     39,Torrej9n de Ardoz,148,461061,4479366
-3.45257971900756,40.457638752723,253,249,Centro de Salud La Plata,Avenida,Uninn Europea,      4,Torrej4n de Ardoz,148,461627,4478651
-3.47259670627437,40.4646938026538,254,250,Centro de Salud Las Veredillas,Calle,Turln,     37,Torrej7n de Ardoz,148,459934,4479443
-3.4704939252982,40.4439455415741,255,254,Centro de Salud Los Fresnos,Calle,Zeus c/v Joaqudn Blume,      0,Torrej0n de Ardoz,148,460100,4477139
-3.53862878266562,40.8238354885292,256,255,Centro de Salud Torrelaguna,Calle,Malacuera,     26,Torrelaguna,151,454580,4519341
-3.92952653356911,40.58108181482,257,256,Centro de Salud Torrelodones,Avenida,de la Dehesa,     63,Torrelodones,152,421332,4492670
-3.36395481735622,40.4067260323922,258,257,Centro de Salud Torres de la Alameda,Plaza,del Juego de la Pelota,      6,Torres de la Alameda,154,469118,4472965
-3.71261077924314,40.6063978192903,259,258,Centro de Salud Tres Cantos,Calle,Sector Oficios,     12,Tres Cantos,903,439713,4495309
-3.70350458716399,40.5991925873192,260,259,Centro de Salud Tres Cantos II,Calle,Sector Embarcaciones,     36,Tres Cantos,903,440477,4494503
-3.67812299355213,40.1851065229896,261,261,Centro de Salud El Reston,Avenida,Mar Mediterrlneo,      1,Valdemoro,161,442272,4448523
-3.68527695474173,40.1921277662638,262,260,Centro de Salud Valdemoro,Calle,Parla,     14,Valdemoro,161,441669,4449307
-4.30019400036425,40.274539391898,263,262,Centro de Salud Villa del Prado,Paseo,de la Estaciln,      2,Villa del Prado,171,389460,4459040
-4.0018343753825,40.4468049810984,264,263,Centro de Salud Villanueva de la Caaada,Calle,de las Eras de MVstoles,     18,Villanueva de la Caoada,176,415043,4477832
-3.27526395728037,40.1702689217791,265,264,Centro de Salud Villarejo de Salvanas,Calle,Hospital,      7,Villarejo de Salvanls,180,476562,4446692
-3.90826388474978,40.3591098023349,266,265,Centro de Salud Villaviciosa de Odnn,Avenida,Principe de Asturias,    173,Villaviciosa de Odan,181,422878,4468012
